RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,source
Julian Erosa,Fernando Padilla,-158.0,134.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,0,0,6.48,0.42,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,193.04,145,1,0,0,6.18,0.48,0.8,1.69,0.48,3,6,29,0,0,2,1,2,2,0,7,Southpaw,185.42,187.96,145,33,26,-1,0,-3,-7,-6,-29,0,-2,-2,0.0,5.08,-7,0.3,0.0,-1.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,1.0,1:41,101.0,historical
Marcos Rogerio de Lima,Waldo Cortes-Acosta,-174.0,146.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,3,0,5.64,0.48,0.2,0.55,0.6,3,0,7,0,0,0,2,1,0,0,3,Orthodox,193.04,198.12,260,0,1,0,3.7,0.57,0.5,1.4,0.45,2,7,26,0,0,0,2,5,2,0,9,Orthodox,185.42,190.5,253,37,31,0,2,1,-6,-7,-19,0,-4,-2,7.62,7.62,-6,1.94,-0.3,-0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Josh Quinlan,Trey Waters,-245.0,200.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,6.43,0.44,0.9,0.44,0.33,0,1,1,0,0,0,0,0,0,0,0,Orthodox,195.58,195.58,170,0,1,0,3.57,0.42,0.0,0.34,0.11,1,0,2,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,170,30,28,1,-1,-1,-1,1,-1,0,-1,0,12.7,12.7,-2,2.86,0.9,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Martin Buday,Jake Collier,-144.0,122.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,2,0,0,5.8,0.44,0.6,0.71,0.33,1,7,27,0,0,1,2,1,1,0,5,Orthodox,190.5,198.12,230,0,3,0,4.84,0.53,0.2,0.21,0.25,3,0,7,0,0,1,1,1,0,0,3,Orthodox,193.04,195.58,265,31,34,2,-3,-2,2,7,20,0,0,1,-2.54,2.54,3,0.96,0.4,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Cody Durden,Charles Johnson,122.0,-144.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,1,0,0,4.83,0.51,0.5,0.38,0.2,2,2,10,0,0,1,0,1,0,0,2,Switch,175.26,177.8,125,0,2,1,3.19,0.5,0.8,4.6,0.5,2,2,12,0,0,0,2,1,0,0,3,Southpaw,170.18,170.18,125,32,32,1,-2,0,-1,0,-2,0,0,0,5.08,7.62,0,1.64,-0.3,-4.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Stephanie Egger,Irina Alekseeva,-350.0,280.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,0,0,3.84,0.43,0.9,0.87,0.2,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,170.18,135,0,1,0,2.2,0.46,0.6,2.48,0.42,2,2,9,0,0,0,0,1,2,0,3,Orthodox,167.64,172.72,135,34,32,0,-1,-2,-3,-2,-9,0,-1,-2,5.08,-2.54,-2,1.64,0.3,-1.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,SUB,Kneebar,1.0,2:11,131.0,historical
Journey Newson,Marcus McGhee,110.0,138.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,0,0,0,5.43,0.51,0.8,0.84,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,1,0,0,2.64,0.32,0.3,0.56,0.16,1,3,11,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,135,34,32,-1,0,-1,-1,-3,-11,0,0,0,7.62,5.08,-2,2.79,0.5,0.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,SUB,Rear Naked Choke,2.0,2:03,423.0,historical
Hailey Cowan,Jamey-Lyn Horth,138.0,-164.0,2023-04-29,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,0,0,3.97,0.62,0.0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,125,0,1,0,2.97,0.42,0.0,1.5,0.33,1,0,3,0,0,1,0,0,0,0,1,Southpaw,172.72,170.18,135,31,33,0,-1,-1,-1,0,-3,0,0,0,-2.54,-2.54,2,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Sergei Pavlovich,Curtis Blaydes,112.0,-132.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,5,0,3,0,3.54,0.5,0.0,5.69,0.53,5,3,38,1,0,0,5,7,0,0,12,Orthodox,193.04,203.2,265,0,5,0,5.86,0.44,0.0,0.0,0.0,5,1,6,1,0,0,0,5,0,0,5,Southpaw,190.5,213.36,257,30,32,0,-2,0,7,2,32,0,2,0,2.54,-10.16,2,-2.32,0.0,5.69,4.0,3.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,KO/TKO,Punches,1.0,3:08,188.0,historical
Brad Tavares,Bruno Silva,-162.0,136.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,2,0,0,4.12,0.49,0.0,0.93,0.27,3,2,11,0,0,0,0,3,0,0,3,Orthodox,182.88,187.96,185,1,0,0,3.38,0.43,0.0,0.78,0.26,5,7,58,0,0,3,9,2,0,0,14,Orthodox,185.42,187.96,185,35,33,1,0,-2,-11,-5,-47,0,1,0,-2.54,0.0,-2,0.74,0.0,0.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,neither,KO/TKO,Punch,1.0,3:35,215.0,historical
Iasmin Lucindo,Brogan Walker,-375.0,300.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,1,0,0,2.04,0.3,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Switch,162.56,170.18,125,1,0,0,3.95,0.46,0.3,2.23,0.53,0,1,3,0,0,0,0,0,0,0,0,Orthodox,160.02,167.64,115,21,34,0,0,0,0,0,0,0,0,0,2.54,2.54,13,-1.91,-0.3,-2.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Jeremiah Wells,Matthew Semelsberger,-102.0,-116.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,3.78,0.43,0.4,1.02,0.57,2,2,17,0,0,0,3,2,0,0,5,Switch,185.42,190.5,170,0,3,0,2.41,0.43,0.8,3.08,0.44,3,0,4,0,0,0,0,2,1,0,3,Switch,175.26,187.96,170,36,30,0,-2,-1,2,2,13,0,0,-1,10.16,2.54,-6,1.37,-0.4,-2.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,S-DEC,No Finish,3.0,5:00,900.0,historical
Ricky Glenn,Christos Giagos,-164.0,138.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,2,0,0,3.03,0.41,0.4,2.84,0.36,2,6,23,0,0,0,3,0,2,0,5,Orthodox,177.8,180.34,155,0,1,1,3.79,0.42,0.4,0.72,0.13,2,3,22,0,0,2,1,1,0,0,4,Southpaw,182.88,177.8,170,34,33,2,-1,0,1,3,1,0,-1,2,-5.08,2.54,-1,-0.76,0.0,2.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punch,1.0,1:35,95.0,historical
Rani Yahya,Montel Jackson,440.0,-590.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,3,0,3.39,0.53,0.3,3.41,0.71,3,2,23,0,0,0,4,2,1,0,7,Southpaw,177.8,190.5,135,0,2,1,1.71,0.38,1.8,2.73,0.3,4,7,60,1,0,1,5,0,11,0,17,Orthodox,167.64,170.18,135,38,30,0,1,-1,-10,-5,-37,-1,2,-10,10.16,20.32,-8,1.68,-1.5,0.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punch,1.0,3:42,222.0,historical
Karol Rosa,Norma Dumont,-102.0,-116.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Featherweight,FEMALE,3,0,1,0,3.11,0.49,0.0,1.91,0.68,3,2,18,0,0,1,3,0,0,0,4,Orthodox,170.18,170.18,135,0,1,0,6.49,0.56,0.0,1.2,0.46,4,1,18,0,1,1,3,0,0,0,5,Orthodox,165.1,170.18,135,28,32,0,0,-1,-1,1,0,0,0,0,5.08,0.0,4,-3.38,0.0,0.71,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Mohammed Usman,Junior Tafa,100.0,-118.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,0,0,1.67,0.42,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,240,0,1,0,3.41,0.36,0.0,0.69,0.17,1,0,2,0,0,0,0,1,0,0,1,Orthodox,187.96,200.66,239,34,26,0,-1,-1,-1,0,-2,0,-1,0,2.54,-10.16,-8,-1.74,0.0,-0.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Francis Marshall,William Gomis,-196.0,164.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,0,2.62,0.46,0.7,1.06,0.6,1,0,3,0,0,0,1,0,0,0,1,Southpaw,182.88,185.42,145,0,2,0,3.69,0.34,0.5,2.68,0.41,2,0,5,0,0,0,1,1,0,0,2,Orthodox,175.26,182.88,145,24,25,0,-1,-1,-1,0,-2,0,-1,0,7.62,2.54,1,-1.07,0.2,-1.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,S-DEC,No Finish,3.0,5:00,900.0,historical
Brady Hiestand,Batgerel Danaa,134.0,-158.0,2023-04-22,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,2,0,0,5.38,0.36,0.0,0.52,0.5,3,3,11,0,0,0,0,3,0,0,3,Orthodox,170.18,177.8,135,0,1,0,2.7,0.5,1.1,4.8,0.46,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,180.34,135,23,33,2,-1,2,2,2,5,0,3,0,-2.54,-2.54,10,2.68,-1.1,-4.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,3.0,4:21,861.0,historical
Max Holloway,Arnold Allen,-172.0,144.0,2023-04-15,"Kansas City, Missouri, USA",USA,Red,False,Featherweight,MALE,5,0,10,0,3.45,0.41,0.3,0.93,0.47,10,0,27,0,0,1,5,2,2,0,10,Southpaw,172.72,177.8,145,1,0,0,7.17,0.48,0.3,0.25,0.53,13,7,85,9,0,1,7,9,2,0,19,Orthodox,180.34,175.26,145,31,29,-1,10,-3,-9,-7,-58,-9,-7,0,-7.62,2.54,-2,-3.72,0.0,0.68,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,Red,U-DEC,No Finish,5.0,5:00,1500.0,historical
Edson Barboza,Billy Quarantillo,146.0,-174.0,2023-04-15,"Kansas City, Missouri, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,7.36,0.56,1.1,1.24,0.23,4,2,22,0,0,0,1,4,1,0,6,Orthodox,177.8,177.8,145,2,0,0,4.11,0.44,0.1,0.45,0.5,4,11,70,0,1,1,6,8,0,0,16,Orthodox,180.34,190.5,145,37,34,-2,1,0,-10,-9,-48,0,-4,1,-2.54,-12.7,-3,3.25,1.0,0.79,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,KO/TKO,Knee,1.0,2:37,157.0,historical
Dustin Jacoby,Azamat Murzakanov,-162.0,136.0,2023-04-15,"Kansas City, Missouri, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,3,0,4.72,0.56,0.0,0.62,0.15,3,0,7,0,0,0,0,3,0,0,3,Southpaw,177.8,180.34,205,1,0,1,5.5,0.47,0.0,0.36,0.25,4,3,27,0,0,0,4,3,0,0,7,Orthodox,190.5,193.04,205,35,34,-1,3,-1,-4,-3,-20,0,0,0,-12.7,-12.7,-1,-0.78,0.0,0.26,15.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,U-DEC,No Finish,3.0,5:00,900.0,historical
Tanner Boser,Ion Cutelaba,108.0,-130.0,2023-04-15,"Kansas City, Missouri, USA",USA,Blue,False,Light Heavyweight,MALE,3,3,0,1,4.44,0.43,0.0,4.17,0.57,2,8,26,0,0,0,2,3,0,0,5,Southpaw,185.42,190.5,205,1,0,0,4.7,0.52,0.0,0.0,0.0,2,4,20,0,0,0,1,3,0,0,4,Orthodox,187.96,190.5,205,31,29,2,0,0,1,4,6,0,0,0,-2.54,0.0,-2,-0.26,0.0,4.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,1.0,2:05,125.0,historical
Pedro Munhoz,Chris Gutierrez,176.0,-210.0,2023-04-15,"Kansas City, Missouri, USA",USA,Red,False,Bantamweight,MALE,3,0,7,1,4.72,0.59,0.1,0.26,0.3,4,1,22,0,0,2,2,3,0,0,7,Orthodox,175.26,170.18,135,2,0,0,5.32,0.43,0.5,0.51,0.18,4,7,42,0,0,0,3,3,3,0,9,Orthodox,167.64,165.1,135,36,31,-2,7,0,-2,-6,-20,0,0,-3,7.62,5.08,-5,-0.6,-0.4,-0.25,13.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,Red,U-DEC,No Finish,3.0,5:00,900.0,historical
Clay Guida,Rafa Garcia,235.0,-290.0,2023-04-15,"Kansas City, Missouri, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,4.19,0.42,0.3,3.61,0.44,2,3,17,0,0,0,2,0,1,0,3,Orthodox,170.18,177.8,155,0,1,0,2.64,0.33,0.6,3.13,0.36,4,17,99,2,0,4,9,2,5,0,20,Orthodox,170.18,177.8,155,41,28,0,0,-2,-17,-14,-82,-2,-2,-4,0.0,0.0,-13,1.55,-0.3,0.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Bill Algeo,TJ Brown,-200.0,168.0,2023-04-15,"Kansas City, Missouri, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,3.37,0.44,1.3,3.41,0.57,2,3,20,0,0,1,1,0,2,0,4,Switch,175.26,182.88,145,1,0,0,5.88,0.51,0.1,1.03,0.5,2,4,20,0,0,0,2,1,0,0,3,Switch,182.88,185.42,145,33,32,-1,1,0,1,-1,0,0,-1,2,-7.62,-2.54,-1,-2.51,1.2,2.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,SUB,Rear Naked Choke,2.0,1:40,400.0,historical
Brandon Royval,Matheus Nicolau,164.0,-196.0,2023-04-15,"Kansas City, Missouri, USA",USA,Red,False,Flyweight,MALE,3,0,4,0,3.62,0.52,0.8,1.38,0.45,4,1,21,0,0,2,3,1,1,0,7,Orthodox,167.64,167.64,125,0,2,0,4.33,0.36,1.1,0.47,0.6,2,2,11,1,0,1,0,0,3,0,4,Southpaw,175.26,172.72,125,30,30,0,2,2,3,-1,10,-1,1,-2,-7.62,-5.08,0,-0.71,-0.3,0.91,5.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,Red,KO/TKO,Knee,1.0,2:09,129.0,historical
Zak Cummings,Ed Herman,-220.0,184.0,2023-04-15,"Kansas City, Missouri, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,3.31,0.48,1.0,1.96,0.47,3,12,58,1,0,1,3,4,5,0,13,Orthodox,185.42,195.58,205,0,1,0,2.96,0.35,0.6,0.62,0.28,2,5,33,0,0,0,4,1,4,0,9,Southpaw,182.88,190.5,205,38,42,1,-1,1,4,7,25,1,3,1,2.54,5.08,4,0.35,0.4,1.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,3.0,4:13,853.0,historical
Gillian Robertson,Piera Rodriguez,-126.0,108.0,2023-04-15,"Kansas City, Missouri, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,3,0,3.64,0.47,0.0,3.11,0.41,3,0,9,0,0,0,3,0,0,0,3,Orthodox,160.02,160.02,115,0,1,0,2.83,0.48,1.1,2.48,0.42,2,5,27,0,0,0,1,1,6,0,8,Orthodox,165.1,160.02,115,27,30,0,2,1,-5,-5,-18,0,-1,-6,-5.08,0.0,3,0.81,-1.1,0.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,SUB,Armbar,2.0,4:21,561.0,historical
Lando Vannata,Daniel Zellhuber,108.0,-130.0,2023-04-15,"Kansas City, Missouri, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,5.86,0.41,0.2,0.22,0.33,1,1,6,0,0,0,1,0,0,0,1,Switch,185.42,195.58,155,1,0,2,4.52,0.45,0.3,1.09,0.37,1,6,29,0,0,1,1,1,1,0,4,Orthodox,175.26,180.34,155,31,23,0,0,0,-3,-5,-23,0,-1,-1,10.16,15.24,-8,1.34,-0.1,-0.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Bruna Brasil,Denise Gomes,-156.0,132.0,2023-04-15,"Kansas City, Missouri, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,1,0,0,4.48,0.49,0.9,0.88,0.3,1,1,6,0,0,0,1,0,0,0,1,Orthodox,157.48,160.02,115,0,1,0,2.94,0.61,0.0,1.93,0.72,1,0,2,0,0,0,0,1,0,0,1,Orthodox,167.64,165.1,115,29,23,1,-1,0,0,1,4,0,-1,0,-10.16,-5.08,-6,1.54,0.9,-1.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,2.0,2:42,462.0,historical
Aaron Phillips,Gaston Bolanos,160.0,-190.0,2023-04-15,"Kansas City, Missouri, USA",USA,Blue,False,Bantamweight,MALE,3,0,0,0,3.88,0.43,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,135,3,0,0,1.51,0.53,0.6,0.86,0.5,0,3,8,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,135,33,30,-3,0,0,0,-3,-8,0,0,0,-5.08,-5.08,-3,2.37,-0.6,-0.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
